Transaction_ID,Date,Month,Day_of_Week,Category,Brand,Quantity,Unit_Price,Discount_Rate,Gross_Amount,Discount_Amount,Net_Amount,Payment_Method,Customer_Age,Customer_Gender,Weather,Is_Holiday_Month,Revenue_per_unit,Age_Group,Is_Weekend
fb72d756-4d90-44f4-8f50-626a22337af3,2024-09-04,September,Wednesday,Whiskey,Jack Daniels,6,16.87,0.25,101.22,25.3,75.91,Credit Card,58,Male,Sunny,0,4.499703615886188,51-60,False
87f68f50-8798-49fd-aac8-e37fd62226cb,2024-06-18,June,Tuesday,Vodka,Smirnoff,3,119.36,0.12,358.08,42.97,315.11,Mobile Payment,22,Female,Rainy,0,2.639996648793566,21-30,False
3a90ac59-0ae8-4a81-b7db-18ba5c168dd3,2025-05-24,May,Saturday,Whiskey,Jack Daniels,4,60.79,0.03,243.16,7.29,235.87,Mobile Payment,52,Other,Snowy,0,3.8800789603553216,51-60,True
45752cd2-ff05-49a3-a7a2-61163d64c227,2025-03-13,March,Thursday,Gin,Tanqueray,3,12.19,0.12,36.57,4.39,32.18,Credit Card,53,Male,Cloudy,0,2.639868744872847,51-60,False
7061a5a6-1135-4959-887c-3b8bee7bd200,2025-01-14,January,Tuesday,Brandy,Hennessy,3,98.74,0.16,296.22,47.4,248.82,Mobile Payment,64,Female,Cloudy,0,2.5199513874822768,61-70,False
d52b4569-1a48-44ab-a778-49f23039c688,2024-07-10,July,Wednesday,Whiskey,Jack Daniels,5,81.15,0.12,405.75,48.69,357.06,Debit Card,62,Male,Rainy,1,4.3999999999999995,61-70,False
4364c6f7-7db2-4eb6-b975-8215f21b8f48,2024-10-24,October,Thursday,Gin,Bombay Sapphire,3,23.24,0.16,69.72,11.16,58.56,Cash,39,Male,Sunny,0,2.519793459552496,31-40,False
4fd7a585-ee7e-4d83-9a5d-d5193c73fd1a,2024-10-20,October,Sunday,Vodka,Grey Goose,2,62.02,0.1,124.04,12.4,111.64,Debit Card,56,Other,Snowy,0,1.800064495324089,51-60,True
edd2e7bc-ba9d-4c88-b92d-8730d41ef7b2,2024-10-20,October,Sunday,Whiskey,Jameson,6,61.89,0.17,371.34,63.13,308.21,Debit Card,45,Female,Sunny,0,4.979964453061884,41-50,True
b42b69cd-29af-45de-bd21-4abeb8bbd63b,2025-05-16,May,Friday,Whiskey,Jack Daniels,2,52.03,0.13,104.06,13.53,90.53,Credit Card,62,Female,Cloudy,0,1.7399577167019027,61-70,False
90452746-8e93-4d3f-b990-aa8e19c81b6f,2024-12-27,December,Friday,Vodka,Absolut,6,92.41,0.19,554.46,105.35,449.11,Cash,21,Other,Rainy,1,4.859971864516828,21-30,False
c6ce1ef1-e23a-4ce0-b1fd-40977944a5bb,2024-06-18,June,Tuesday,Wine,Sutter Home,1,104.88,0.04,104.88,4.2,100.68,Mobile Payment,22,Other,Sunny,0,0.9599542334096111,21-30,False
78ff7ba1-f05b-4f5c-85b5-ffc24e0025c2,2024-08-27,August,Tuesday,Tequila,Don Julio,4,91.2,0.04,364.8,14.59,350.21,Cash,30,Female,Cloudy,0,3.840021929824561,21-30,False
1df36f4c-6894-4f24-b731-854c1725ccb7,2024-11-02,November,Saturday,Rum,Captain Morgan,1,53.95,0.23,53.95,12.41,41.54,Cash,33,Other,Sunny,1,0.7699721964782206,31-40,True
6ac7abfe-0e13-4293-af2c-86916c5a0ec6,2024-08-28,August,Wednesday,Tequila,Patron,2,104.94,0.18,209.88,37.78,172.1,Credit Card,58,Other,Rainy,0,1.6399847531923004,51-60,False
c9c41205-166f-4204-840e-76a7fbf02df0,2025-05-14,May,Wednesday,Whiskey,Jack Daniels,2,110.26,0.16,220.52,35.28,185.24,Mobile Payment,52,Female,Cloudy,0,1.6800290223109016,51-60,False
c5572b5d-3f43-4426-bdca-dc263a0189a1,2025-02-14,February,Friday,Whiskey,Jack Daniels,4,45.33,0.23,181.32,41.7,139.62,Mobile Payment,40,Female,Snowy,0,3.0800794176042356,31-40,False
f5bb5a76-0322-457a-bd60-d297e3bbe8b0,2025-01-11,January,Saturday,Brandy,Hennessy,3,82.24,0.21,246.72,51.81,194.91,Cash,45,Male,Cloudy,0,2.3700145914396886,41-50,True
c6892130-822b-4315-bb83-1428bf6bd74f,2024-08-15,August,Thursday,Tequila,Patron,4,53.7,0.2,214.8,42.96,171.84,Debit Card,42,Other,Cloudy,0,3.1999999999999997,41-50,False
acf1fa31-517a-4d6e-8460-7c115380f153,2025-04-20,April,Sunday,Tequila,Don Julio,6,25.68,0.08,154.08,12.33,141.75,Credit Card,34,Other,Sunny,0,5.519859813084112,31-40,True
4e314aa2-2547-473f-a0cf-490633036ea5,2024-07-02,July,Tuesday,Gin,Bombay Sapphire,4,22.4,0.23,89.6,20.61,68.99,Debit Card,34,Female,Cloudy,1,3.079910714285714,31-40,False
